case 0x3798e4ed: // "pro"
	break;
0: 0(0) [0] 18 "(null)"
7f: 250c(12a0) [1] e "ServiceHub.VSDetouredHost.exe"
80: 1fa0(12a0) [1] 10 "ServiceHub.ThreadedWaitDialog.exe"
81: 1598(21cc) [1] 1 "vshost.exe"
82: b30(12a0) [1] 11 "ServiceHub.IdentityHost.exe"
83: 2b40(12a0) [1] b "ServiceHub.IntellicodeModelService.exe"
84: 2508(12a0) [1] f "ServiceHub.Host.AnyCPU.exe"
85: 2c74(12a0) [1] c "ServiceHub.TestWindowStoreHost.exe"
86: 29d4(ec0) [1] 39 "dexplore.exe"
87: 2d70(1cf0) [1] 1b "chrome.exe"
88: 2440(1cf0) [1] 17 "chrome.exe"
89: 2b1c(1cf0) [1] 13 "chrome.exe"
8a: 2b78(12a0) [1] f "ServiceHub.DataWarehouseHost.exe"
8b: 3210(1cf0) [1] 13 "chrome.exe"
8c: 31f8(1bc4) [1] 1 "mspdbsrv.exe"
8d: 33bc(1cf0) [1] 14 "chrome.exe"
8e: 2088(1cf0) [1] 19 "chrome.exe"
8f: 3478(464) [1] e "LockApp.exe"
90: 3adc(464) [1] 24 "RuntimeBroker.exe"
91: 3af0(3e8) [0] c "svchost.exe"
92: 1984(1258) [1] 8 "ShellHost.exe"
93: 30b0(ec0) [1] 5 "mspaint.exe"
94: 39ec(1cf0) [1] 13 "chrome.exe"
95: 1868(1cf0) [1] 2 "Notepad2.exe"
96: 1688(1c10) [1] 3 "notepad.exe"
97: 1058(ec0) [1] 1 "cmd.exe"
98: 3910(1058) [1] 3 "conhost.exe"
99: 1d58(21cc) [1] 4 "VcxprojReader.exe"
9a: 3b5c(1d58) [1] 2 "conhost.exe"
9b: 1364(12a0) [1] 14 "ServiceHub.IndexingService.exe"
9c: b28(34a0) [1] 11 "vctip.exe"
9d: 1890(1c10) [1] 3 "notepad.exe"
9e: 3428(1cf0) [1] 13 "chrome.exe"
9f: 148(1cf0) [1] 15 "chrome.exe"
a0: 31b4(ab8) [1] 1 "explorer.exe"
a1: 3d60(3e8) [0] 6 "svchost.exe"
a2: 3248(2e00) [1] 1 "explorer.exe"
a3: 3a98(1cf0) [1] 13 "chrome.exe"
a4: 144c(1cf0) [1] 13 "chrome.exe"
a5: 1fb0(1cf0) [1] 15 "chrome.exe"
a6: 27a4(3e8) [0] 4 "svchost.exe"
a7: 3e44(3808) [1] 1 "explorer.exe"
a8: 26c8(1cf0) [1] 15 "chrome.exe"
a9: 341c(1cf0) [1] 14 "chrome.exe"
aa: 2194(3e8) [0] 6 "svchost.exe"
ab: 16a8(3e8) [0] 5 "svchost.exe"
ac: 2128(1cf0) [1] b "chrome.exe"
ad: 1de8(1cf0) [1] f "chrome.exe"
ae: de0(1598) [1] 7 "vcpkgsrv.exe"
af: 6c0(21cc) [1] a "MSBuild.exe"
b0: 2ae4(6c0) [1] 2 "conhost.exe"
b1: 378c(3e8) [0] 9 "StandardCollector.Service.exe"
b2: 13a4(1598) [1] 7 "vcpkgsrv.exe"
b3: 2bdc(464) [0] 6 "WmiPrvSE.exe"
b4: 2398(b6c) [0] 6 "audiodg.exe"
b5: 3208(3e8) [0] 7 "svchost.exe"
b6: 1858(21cc) [1] 32 "msedgewebview2.exe"
b7: 7c0(1858) [1] 9 "msedgewebview2.exe"
b8: 3fe0(1858) [1] 10 "msedgewebview2.exe"
b9: 38f0(1858) [1] 12 "msedgewebview2.exe"
ba: 3168(1858) [1] 7 "msedgewebview2.exe"
bb: 1004(1858) [1] 14 "msedgewebview2.exe"
bc: 3f3c(1c10) [1] 4 "cmd.exe"
bd: 1c78(3f3c) [1] 1 "TestTask.x64.exe"
case 0xda7233c0: // "ltsk"
	break;
["\"]
	["RemoteDesktop"]
		["Harry"]
	["Mozilla"]
	["Microsoft"]
		["XblGameSave"]
		["Windows"]
			["WwanSvc"]
				[TASK_STATE_READY]: "OobeDiscovery"
				[TASK_STATE_READY]: "NotificationTask"
			["WS"]
			["Workplace Join"]
				[TASK_STATE_DISABLED]: "Recovery-Check"
				[TASK_STATE_DISABLED]: "Device-Sync"
				[TASK_STATE_DISABLED]: "Automatic-Device-Join"
			["Work Folders"]
				[TASK_STATE_READY]: "Work Folders Maintenance Work"
				[TASK_STATE_READY]: "Work Folders Logon Synchronization"
			["WOF"]
				[TASK_STATE_DISABLED]: "WIM-Hash-Validation"
				[TASK_STATE_READY]: "WIM-Hash-Management"
			["WlanSvc"]
				[TASK_STATE_READY]: "MoProfileManagement"
				[TASK_STATE_READY]: "CDSSync"
			["Wininet"]
				[TASK_STATE_RUNNING]: "CacheTask"
			["WindowsUpdate"]
			["WindowsColorSystem"]
				[TASK_STATE_READY]: "Calibration Loader"
			["WindowsBackup"]
			["Windows Subsystem For Linux"]
			["Windows Media Sharing"]
				[TASK_STATE_READY]: "UpdateLibrary"
			["Windows Filtering Platform"]
				[TASK_STATE_READY]: "BfeOnServiceStartTypeChange"
			["Windows Error Reporting"]
				[TASK_STATE_READY]: "QueueReporting"
			["Windows Defender"]
				[TASK_STATE_READY]: "Windows Defender Verification"
				[TASK_STATE_READY]: "Windows Defender Scheduled Scan"
				[TASK_STATE_READY]: "Windows Defender Cleanup"
				[TASK_STATE_READY]: "Windows Defender Cache Maintenance"
			["Windows Activation Technologies"]
			["WDI"]
				[TASK_STATE_READY]: "ResolutionHost"
			["WCM"]
				[TASK_STATE_READY]: "WiFiTask"
			["WaaSMedic"]
				[TASK_STATE_DISABLED]: "PerformRemediation"
			["User Profile Service"]
				[TASK_STATE_DISABLED]: "HiveUploadTask"
			["USB"]
				[TASK_STATE_READY]: "Usb-Notifications"
			["UPnP"]
				[TASK_STATE_READY]: "UPnPHostConfig"
			["UpdateOrchestrator"]
				[TASK_STATE_READY]: "UUS Failover Task"
				[TASK_STATE_READY]: "USO_UxBroker"
				[TASK_STATE_READY]: "StartOobeAppsScan_LicenseAccepted"
				[TASK_STATE_READY]: "StartOobeAppsScanAfterUpdate"
				[TASK_STATE_READY]: "Start Oobe Expedite Work"
				[TASK_STATE_READY]: "Schedule Work"
				[TASK_STATE_DISABLED]: "Schedule Wake To Work"
				[TASK_STATE_READY]: "Schedule Scan Static Task"
				[TASK_STATE_READY]: "Schedule Scan"
				[TASK_STATE_DISABLED]: "Schedule Maintenance Work"
				[TASK_STATE_READY]: "Report policies"
			["UNP"]
				[TASK_STATE_DISABLED]: "RunUpdateNotificationMgr"
			["TPM"]
				[TASK_STATE_READY]: "Tpm-PreAttestationHealthCheck"
				[TASK_STATE_READY]: "Tpm-Maintenance"
				[TASK_STATE_READY]: "Tpm-HASCertRetr"
			["Time Zone"]
				[TASK_STATE_READY]: "SynchronizeTimeZone"
			["Time Synchronization"]
				[TASK_STATE_READY]: "SynchronizeTime"
				[TASK_STATE_READY]: "ForceSynchronizeTime"
			["TextServicesFramework"]
				[TASK_STATE_READY]: "MsCtfMonitor"
			["TaskScheduler"]
			["Task Manager"]
				[TASK_STATE_READY]: "Interactive"
			["SystemRestore"]
				[TASK_STATE_READY]: "SR"
			["Sysmain"]
				[TASK_STATE_READY]: "WsSwapAssessmentTask"
				[TASK_STATE_READY]: "ResPriStaticDbSync"
				[TASK_STATE_DISABLED]: "HybridDriveCacheRebalance"
				[TASK_STATE_DISABLED]: "HybridDriveCachePrepopulate"
			["SyncCenter"]
			["Sustainability"]
				[TASK_STATE_READY]: "SustainabilityTelemetry"
				[TASK_STATE_READY]: "PowerGridForecastTask"
			["Subscription"]
				[TASK_STATE_DISABLED]: "LicenseAcquisition"
				[TASK_STATE_READY]: "EnableLicenseAcquisition"
			["Storage Tiers Management"]
				[TASK_STATE_DISABLED]: "Storage Tiers Optimization"
				[TASK_STATE_READY]: "Storage Tiers Management Initialization"
			["StateRepository"]
				[TASK_STATE_READY]: "MaintenanceTasks"
			["Speech"]
				[TASK_STATE_READY]: "SpeechModelDownloadTask"
			["SpacePort"]
				[TASK_STATE_READY]: "SpaceManagerTask"
				[TASK_STATE_READY]: "SpaceAgentTask"
			["SoftwareProtectionPlatform"]
				[TASK_STATE_READY]: "SvcRestartTaskNetwork"
				[TASK_STATE_READY]: "SvcRestartTaskLogon"
				[TASK_STATE_READY]: "SvcRestartTask"
			["SMB"]
			["Shell"]
				[TASK_STATE_READY]: "UpdateUserPictureTask"
				[TASK_STATE_READY]: "ThemesSyncedImageDownload"
				[TASK_STATE_DISABLED]: "ThemeAssetTask_SyncFODState"
				[TASK_STATE_READY]: "IndexerAutomaticMaintenance"
				[TASK_STATE_READY]: "FamilySafetyRefreshTask"
				[TASK_STATE_DISABLED]: "FamilySafetyMonitorToastTask"
				[TASK_STATE_READY]: "FamilySafetyMonitor"
				[TASK_STATE_READY]: "CreateObjectTask"
			["SharedPC"]
				[TASK_STATE_DISABLED]: "Account Cleanup"
			["Setup"]
			["SettingSync"]
			["Servicing"]
				[TASK_STATE_READY]: "StartComponentCleanup"
				[TASK_STATE_DISABLED]: "OOBEFodSetup"
			["Security"]
				["Pwdless"]
					[TASK_STATE_READY]: "IntelligentPwdlessTask"
			["RetailDemo"]
			["rempl"]
			["RemoteAssistance"]
				[TASK_STATE_READY]: "RemoteAssistanceTask"
			["RemoteApp and Desktop Connections Update"]
			["Registry"]
				[TASK_STATE_READY]: "RegIdleBackup"
			["ReFsDedupSvc"]
				[TASK_STATE_READY]: "Initialization"
			["RecoveryEnvironment"]
				[TASK_STATE_DISABLED]: "VerifyWinRE"
			["Ras"]
				[TASK_STATE_READY]: "MobilityManager"
			["PushToInstall"]
				[TASK_STATE_READY]: "Registration"
				[TASK_STATE_READY]: "LoginCheck"
			["Printing"]
				[TASK_STATE_READY]: "PrintJobCleanupTask"
				[TASK_STATE_READY]: "PrinterCleanupTask"
				[TASK_STATE_READY]: "EduPrintProv"
			["Power Efficiency Diagnostics"]
				[TASK_STATE_READY]: "AnalyzeSystem"
			["Plug and Play"]
				[TASK_STATE_READY]: "Sysprep Generalize Drivers"
				[TASK_STATE_READY]: "Plug and Play Cleanup"
				[TASK_STATE_READY]: "Device Install Reboot Required"
				[TASK_STATE_READY]: "Device Install Group Policy"
			["PLA"]
				["System"]
			["PI"]
				[TASK_STATE_READY]: "Sqm-Tasks"
				[TASK_STATE_READY]: "SecureBootEncodeUEFI"
				[TASK_STATE_READY]: "Secure-Boot-Update"
			["PerformanceTrace"]
				[TASK_STATE_READY]: "RequestTrace"
			["Offline Files"]
				[TASK_STATE_DISABLED]: "Logon Synchronization"
				[TASK_STATE_DISABLED]: "Background Synchronization"
			["NlaSvc"]
				[TASK_STATE_READY]: "WiFiTask"
			["Network Connectivity Status Indicator"]
				[TASK_STATE_READY]: "NcsiIdentifyUserProxies"
			["NetTrace"]
			["Multimedia"]
				[TASK_STATE_RUNNING]: "SystemSoundsService"
			["MUI"]
				[TASK_STATE_READY]: "LPRemove"
			["Mobile Broadband Accounts"]
				[TASK_STATE_READY]: "MNO Metadata Parser"
			["MemoryDiagnostic"]
				[TASK_STATE_DISABLED]: "RunFullMemoryDiagnostic"
				[TASK_STATE_READY]: "ProcessMemoryDiagnosticEvents"
			["Maps"]
				[TASK_STATE_DISABLED]: "MapsUpdateTask"
				[TASK_STATE_READY]: "MapsToastTask"
			["Management"]
				["Provisioning"]
					[TASK_STATE_DISABLED]: "RunOnReboot"
					[TASK_STATE_DISABLED]: "Retry"
					[TASK_STATE_DISABLED]: "MdmDiagnosticsCleanup"
					[TASK_STATE_READY]: "Logon"
					[TASK_STATE_READY]: "Cellular"
				["Autopilot"]
					[TASK_STATE_DISABLED]: "RemediateHardwareChange"
					[TASK_STATE_DISABLED]: "DetectHardwareChange"
			["Maintenance"]
				[TASK_STATE_READY]: "WinSAT"
			["Location"]
				[TASK_STATE_READY]: "WindowsActionDialog"
				[TASK_STATE_READY]: "Notifications"
			["Live"]
				["Roaming"]
			["License Manager"]
				[TASK_STATE_READY]: "TempSignedLicenseExchange"
			["LanguageComponentsInstaller"]
				[TASK_STATE_DISABLED]: "Uninstallation"
				[TASK_STATE_READY]: "ReconcileLanguageResources"
				[TASK_STATE_READY]: "Installation"
			["Kernel"]
				[TASK_STATE_READY]: "La57Cleanup"
			["International"]
				[TASK_STATE_READY]: "Synchronize Language Settings"
			["InstallService"]
				[TASK_STATE_DISABLED]: "WakeUpAndScanForUpdates"
				[TASK_STATE_DISABLED]: "WakeUpAndContinueUpdates"
				[TASK_STATE_READY]: "SmartRetry"
				[TASK_STATE_READY]: "ScanForUpdatesAsUser"
				[TASK_STATE_READY]: "ScanForUpdates"
				[TASK_STATE_READY]: "RestoreDevice"
			["input"]
				[TASK_STATE_READY]: "TouchpadSyncDataAvailable"
				[TASK_STATE_READY]: "syncpensettings"
				[TASK_STATE_READY]: "PenSyncDataAvailable"
				[TASK_STATE_READY]: "MouseSyncDataAvailable"
				[TASK_STATE_READY]: "LocalUserSyncDataAvailable"
				[TASK_STATE_READY]: "InputSettingsRestoreDataAvailable"
			["HelloFace"]
				[TASK_STATE_READY]: "FODCleanupTask"
			["Flighting"]
				["OneSettings"]
					[TASK_STATE_READY]: "RefreshCache"
				["FeatureConfig"]
					[TASK_STATE_READY]: "UsageDataReporting"
					[TASK_STATE_READY]: "UsageDataReceiver"
					[TASK_STATE_READY]: "UsageDataFlushing"
					[TASK_STATE_READY]: "ReconcileFeatures"
					[TASK_STATE_DISABLED]: "BootstrapUsageDataReporting"
			["FileHistory"]
				[TASK_STATE_READY]: "File History (maintenance mode)"
			["File Classification Infrastructure"]
				[TASK_STATE_DISABLED]: "Property Definition Sync"
			["Feedback"]
				["Siuf"]
					[TASK_STATE_READY]: "DmClientOnScenarioDownload"
					[TASK_STATE_READY]: "DmClient"
			["ExploitGuard"]
				[TASK_STATE_READY]: "ExploitGuard MDM policy Refresh"
			["ErrorDetails"]
				[TASK_STATE_DISABLED]: "ErrorDetailsUpdate"
				[TASK_STATE_READY]: "EnableErrorDetailsUpdate"
			["EnterpriseMgmt"]
				[TASK_STATE_READY]: "MDMMaintenenceTask"
			["EDP"]
				[TASK_STATE_READY]: "StorageCardEncryption Task"
				[TASK_STATE_READY]: "EDP Inaccessible Credentials Task"
				[TASK_STATE_READY]: "EDP Auth Task"
				[TASK_STATE_READY]: "EDP App Launch Task"
			["DUSM"]
				[TASK_STATE_READY]: "dusmtask"
			["DiskFootprint"]
				[TASK_STATE_READY]: "StorageSense"
				[TASK_STATE_READY]: "Diagnostics"
			["DiskDiagnostic"]
				[TASK_STATE_DISABLED]: "Microsoft-Windows-DiskDiagnosticResolver"
				[TASK_STATE_READY]: "Microsoft-Windows-DiskDiagnosticDataCollector"
			["DiskCleanup"]
				[TASK_STATE_READY]: "SilentCleanup"
			["DirectX"]
				[TASK_STATE_READY]: "DXGIAdapterCache"
				[TASK_STATE_READY]: "DirectXDatabaseUpdater"
			["Diagnosis"]
				[TASK_STATE_READY]: "UnexpectedCodepath"
				[TASK_STATE_READY]: "Scheduled"
				[TASK_STATE_READY]: "RecommendedTroubleshootingScanner"
			["DeviceLicensingService"]
			["DeviceDirectoryClient"]
				[TASK_STATE_READY]: "RegisterUserDevice"
				[TASK_STATE_READY]: "RegisterDeviceWnsFallback"
				[TASK_STATE_READY]: "RegisterDeviceSettingChange"
				[TASK_STATE_DISABLED]: "RegisterDeviceScreenOnOff"
				[TASK_STATE_READY]: "RegisterDeviceProtectionStateChanged"
				[TASK_STATE_READY]: "RegisterDevicePolicyChange"
				[TASK_STATE_DISABLED]: "RegisterDevicePeriodic6"
				[TASK_STATE_DISABLED]: "RegisterDevicePeriodic24"
				[TASK_STATE_DISABLED]: "RegisterDevicePeriodic1"
				[TASK_STATE_DISABLED]: "RegisterDeviceLocationRightsChange"
				[TASK_STATE_DISABLED]: "RegisterDeviceConnectedToNetwork"
				[TASK_STATE_READY]: "RegisterDeviceAccountChange"
				[TASK_STATE_READY]: "LocateCommandUserSession"
				[TASK_STATE_READY]: "IntegrityCheck"
				[TASK_STATE_READY]: "HandleWnsCommand"
				[TASK_STATE_READY]: "HandleCommand"
			["Device Setup"]
				[TASK_STATE_READY]: "Metadata Refresh"
			["Device Information"]
				[TASK_STATE_READY]: "Device User"
				[TASK_STATE_READY]: "Device"
			["Defrag"]
				[TASK_STATE_READY]: "ScheduledDefrag"
			["Data Integrity Scan"]
				[TASK_STATE_READY]: "Data Integrity Scan for Crash Recovery"
				[TASK_STATE_READY]: "Data Integrity Scan"
				[TASK_STATE_READY]: "Data Integrity Check And Scan"
			["Customer Experience Improvement Program"]
				[TASK_STATE_READY]: "UsbCeip"
				[TASK_STATE_READY]: "Consolidator"
			["Containers"]
				[TASK_STATE_READY]: "CmCleanup"
			["ConsentUX"]
				["UnifiedConsent"]
					[TASK_STATE_READY]: "UnifiedConsentSyncTask"
			["CloudRestore"]
				[TASK_STATE_READY]: "Restore"
				[TASK_STATE_READY]: "Backup"
			["CloudExperienceHost"]
				[TASK_STATE_READY]: "CreateObjectTask"
			["Clip"]
				[TASK_STATE_DISABLED]: "LicenseImdsIntegration"
				[TASK_STATE_DISABLED]: "License Validation"
			["Chkdsk"]
				[TASK_STATE_READY]: "SyspartRepair"
				[TASK_STATE_READY]: "ProactiveScan"
			["CertificateServicesClient"]
				[TASK_STATE_READY]: "UserTask-Roam"
				[TASK_STATE_READY]: "UserTask"
				[TASK_STATE_READY]: "SystemTask"
				[TASK_STATE_READY]: "KeyPreGenTask"
				[TASK_STATE_READY]: "CryptoPolicyTask"
				[TASK_STATE_READY]: "AikCertEnrollTask"
			["capabilityaccessmanager"]
				[TASK_STATE_READY]: "maintenancetasks"
			["BrokerInfrastructure"]
				[TASK_STATE_READY]: "BgTaskRegistrationMaintenanceTask"
			["Bluetooth"]
				[TASK_STATE_READY]: "UninstallDeviceTask"
			["BitLocker"]
				[TASK_STATE_READY]: "BitLocker MDM policy Refresh"
				[TASK_STATE_READY]: "BitLocker Encrypt All Drives"
			["Autochk"]
				[TASK_STATE_READY]: "Proxy"
			["AppxDeploymentClient"]
				[TASK_STATE_READY]: "UCPD velocity"
				[TASK_STATE_DISABLED]: "Pre-staged app cleanup"
			["AppListBackup"]
				[TASK_STATE_READY]: "BackupNonMaintenance"
				[TASK_STATE_READY]: "Backup"
			["ApplicationData"]
				[TASK_STATE_READY]: "DsSvcCleanup"
				[TASK_STATE_READY]: "CleanupTemporaryState"
				[TASK_STATE_READY]: "appuriverifierinstall"
				[TASK_STATE_READY]: "appuriverifierdaily"
			["Application Experience"]
				[TASK_STATE_READY]: "StartupAppTask"
				[TASK_STATE_READY]: "SdbinstMergeDbTask"
				[TASK_STATE_READY]: "PcaPatchDbTask"
				[TASK_STATE_READY]: "Microsoft Compatibility Appraiser Exp"
				[TASK_STATE_READY]: "Microsoft Compatibility Appraiser"
				[TASK_STATE_READY]: "MareBackup"
			["AppID"]
				[TASK_STATE_DISABLED]: "VerifiedPublisherCertStoreCheck"
				[TASK_STATE_READY]: "SmartScreenSpecific"
				[TASK_STATE_DISABLED]: "PolicyConverter"
				[TASK_STATE_READY]: "EDP Policy Manager"
			["Active Directory Rights Management Services Client"]
			[".NET Framework"]
				[TASK_STATE_DISABLED]: ".NET Framework NGEN v4.0.30319 Critical"
				[TASK_STATE_DISABLED]: ".NET Framework NGEN v4.0.30319 64 Critical"
				[TASK_STATE_READY]: ".NET Framework NGEN v4.0.30319 64"
				[TASK_STATE_READY]: ".NET Framework NGEN v4.0.30319"
		["VisualStudio"]
			["Updates"]
				[TASK_STATE_READY]: "BackgroundDownload"
		["OneCore"]
			["DirectX"]
		["Office"]
	["GoogleSystem"]
		["GoogleUpdater"]
	["Event Viewer Tasks"]
case 0x32a6485e: // "fld"
	break;
	C:\Users\DefaultAppPool
	2
12 ["AppData"]
	10 ["Local"]
		2416 ["Application Data"]
		2416 ["History"]
		10 ["Microsoft"]
		10 ["Temp"]
		2416 ["Temporary Internet Files"]
	10 ["LocalLow"]
	10 ["Roaming"]
		14 ["Microsoft"]
2416 ["Application Data"]
2416 ["Cookies"]
11 ["Desktop"]
11 ["Documents"]
	2416 ["My Music"]
	2416 ["My Pictures"]
	2416 ["My Videos"]
11 ["Downloads"]
11 ["Favorites"]
11 ["Links"]
2416 ["Local Settings"]
11 ["Music"]
2416 ["My Documents"]
2416 ["NetHood"]
2022 262144 "NTUSER.DAT"
26 103424 "ntuser.dat.LOG1"
26 0 "ntuser.dat.LOG2"
26 65536 "NTUSER.DAT{b794f0d8-4b5d-11e6-80e4-e41d2d719790}.TM.blf"
26 524288 "NTUSER.DAT{b794f0d8-4b5d-11e6-80e4-e41d2d719790}.TMContainer00000000000000000001.regtrans-ms"
26 524288 "NTUSER.DAT{b794f0d8-4b5d-11e6-80e4-e41d2d719790}.TMContainer00000000000000000002.regtrans-ms"
6 20 "ntuser.ini"
11 ["Pictures"]
2416 ["PrintHood"]
2416 ["Recent"]
10 ["Saved Games"]
2416 ["SendTo"]
2416 ["Start Menu"]
2416 ["Templates"]
11 ["Videos"]
case 0x39131377: // "srv"
	break;
17bc "Appinfo" ("Application Information") "NT AUTHORITY\SYSTEM"
15b4 "AppMgmt" ("Application Management") "NT AUTHORITY\SYSTEM"
a38 "AudioEndpointBuilder" ("Windows Audio Endpoint Builder") "NT AUTHORITY\SYSTEM"
b6c "Audiosrv" ("Windows Audio") "NT AUTHORITY\LOCAL SERVICE"
1d04 "BITS" ("Background Intelligent Transfer Service") "NT AUTHORITY\SYSTEM"
